App_Name,Category,Size,Ratings,Developers,No_of_installs,Permissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIPPY - When you need a friend nextdoor,Social,40M,"4.2 14,882 total","NRISE,Inc.","1,000,000+",read your contacts,find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,read phone status and identity,approximate location (network-based),precise location (GPS and network-based),receive data from Internet,run at startup,draw over other apps,prevent device from sleeping,pair with Bluetooth devices,use accounts on the device,view network connections,full network access,control vibration,change your audio settings,,,,,,,,,,,,,,,
Bate-Papo UOL: Chat de paquera e vídeo ao vivo,Social,29M,"3.3 42,887 total",UOL Inc.,"1,000,000+",take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,precise location (GPS and network-based),approximate location (network-based),receive data from Internet,change your audio settings,run at startup,full network access,prevent device from sleeping,view network connections,,,,,,,,,,,,,,,,,,,,,,,
VK — live chatting & free calls,Social,Varies with device,"3.6 6,883,054 total",VK.com,"100,000,000+",read your contacts,find accounts on the device,modify your contacts,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,add or remove accounts,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read call log,read phone status and identity,read phone status and identity,approximate location (network-based),precise location (GPS and network-based),receive data from Internet,control vibration,view network connections,read Google service configuration,full network access,control Near Field Communication,create accounts and set passwords,draw over other apps,change your audio settings,install shortcuts,read sync settings,pair with Bluetooth devices,run at startup,connect and disconnect from Wi-Fi,toggle sync on and off,prevent device from sleeping,,,,,
Telegram X,Social,Varies with device,"4.4 221,070 total",Telegram LLC,"10,000,000+",find accounts on the device,read your contacts,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,read phone status and identity,precise location (GPS and network-based),approximate location (network-based),receive data from Internet,read sync settings,control flashlight,draw over other apps,prevent device from sleeping,modify system settings,full network access,toggle sync on and off,change system display settings,change your audio settings,run at startup,view network connections,read Google service configuration,pair with Bluetooth devices,create accounts and set passwords,control vibration,,,,,,,,,
Facebook Lite,Social,Varies with device,"4.2 13,398,176 total",Facebook,"1,000,000,000+",record audio,retrieve running apps,modify or delete the contents of your USB storage,read the contents of your USB storage,read call log,directly call phone numbers,read phone status and identity,read phone status and identity,read your text messages (SMS or MMS),take pictures and videos,view Wi-Fi connections,precise location (GPS and network-based),approximate location (network-based),add or modify calendar events and send email to guests without owners' knowledge,read calendar events plus confidential information,find accounts on the device,read your own contact card,add or remove accounts,modify or delete the contents of your USB storage,read the contents of your USB storage,modify your contacts,find accounts on the device,read your contacts,download files without notification,receive data from Internet,create accounts and set passwords,connect and disconnect from Wi-Fi,change network connectivity,install shortcuts,send sticky broadcast,view network connections,read battery statistics,run at startup,uninstall shortcuts,prevent device from sleeping,control vibration,full network access,draw over other apps
All social media and social networks in one app,Social,8.5M,"4.3 81,401 total",Mohammed Alaa Zaki Tayyem,"10,000,000+",approximate location (network-based),precise location (GPS and network-based),read phone status and identity,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,
Snapchat,Social,59M,"4.421,429,157 total",Snap Inc,"1,000,000,000+",read your contacts,find accounts on the device,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,read your own contact card,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,read phone status and identity,precise location (GPS and network-based),receive data from Internet,change your audio settings,control vibration,view network connections,full network access,pair with Bluetooth devices,change network connectivity,run at startup,connect and disconnect from Wi-Fi,access Bluetooth settings,control flashlight,prevent device from sleeping,,,,,,,,,,,,
TikTok,Social,81M,"4.6 17,086,166 total", TikTok Inc.,"500,000,000+",read your contacts,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,add or remove accounts,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,retrieve running apps,read Home settings and shortcuts,receive data from Internet,create accounts and set passwords,expand/collapse status bar,control vibration,control flashlight,install shortcuts,use accounts on the device,prevent device from sleeping,uninstall shortcuts,run at startup,toggle sync on and off,view network connections,full network access,change your audio settings,reorder running apps,,,,,,,,,,,,
Mad For Dance - Taptap Dance,Simulation,100M,"4.4 7,693 total",BIRDLETTER Inc.,"100,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet,run at startup,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,Social,Varies with device,"4.5 95,659,913 total",Instagram,"1,000,000,000+",read your contacts,find accounts on the device,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,receive text messages (SMS),record audio,find accounts on the device,read your own contact card,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,directly call phone numbers,read phone status and identity,read phone status and identity,retrieve running apps,precise location (GPS and network-based),receive data from Internet,read frame buffer,change screen orientation,control vibration,view network connections,full network access,access Bluetooth settings,change your audio settings,install shortcuts,use accounts on the device,pair with Bluetooth devices,run at startup,read battery statistics,connect and disconnect from Wi-Fi,uninstall shortcuts,prevent device from sleeping,,,,,
House Flip,Simulation,62M,"4.3 91,504 total",fun-gi,"5,000,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet,control vibration,run at startup,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrabble® GO - New Word Game,Word,57M,"4.522,842 total",Scopely,"1,000,000+",read your contacts,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Rider GO: Highway Traffic,Racing,Varies with device,"4.4 573,824 total",T-Bull,"50,000,000+",receive data from Internet,view network connections,full network access,prevent device from sleeping,control vibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullet League - 2D Battle Royale,Action,53M,"4.4 5,597 total",Funday Factory,"500,000+",view Wi-Fi connections,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,read phone status and identity,receive data from Internet,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle War: Legendary Heroes,Role Playing,67M,4.6 41 total,IDLE GAME,"100,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,precise location (GPS and network-based),receive data from Internet,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Boxing – Fighting Game,Sports,Varies with device,"4.3 500,470 total",Vivid Games S.A.,"10,000,000+",read the contents of your USB storage,read the contents of your USB storage,view Wi-Fi connections,receive data from Internet,view network connections,pair with Bluetooth devices,prevent device from sleeping,access Bluetooth settings,control vibration,full network access,Google Play license check,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon City - Collect, Evolve & Build your Island",Simulation,109M,"4.6 7,410,254 total",Socialpoint,"100,000,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read the contents of your USB storage,modify or delete the contents of your USB storage,receive data from Internet,control vibration,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dice Dreams,Casual,55M,"4.8 3,119 total",SuperPlay.,"50,000+",view Wi-Fi connections,approximate location (network-based),receive data from Internet,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Brothers Home Design,Simulation,118M,"4.2 91,211 total",Storm8 Studios,"10,000,000+",view Wi-Fi connections,receive data from Internet,Google Play license check,view network connections,full network access,prevent device from sleeping,control vibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake.io - Fun Addicting Arcade Battle .io Games,Action,32M,"4.3 221,097 total",Kooapps Games - Fun Word and Brain Puzzle Games,"10,000,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooking Fever,Arcade,115M,"4.4 4,034,089 total",Nordcurrent,"100,000,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solitaire Showtime: Tri Peaks Solitaire Free & Fun,Card,75M,"4.7 17,202 total","Jam City, Inc.","100,000+",receive data from Internet,run at startup,view network connections,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Crew — 3D bowling game,Sports,75M,"4.4 17,021 total",Wargaming Group,"500,000+",receive data from Internet,view network connections,full network access,run at startup,control vibration,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Mobile for VK,Social,5.4M,"4.6 688,448 total",Дмитрий Иванович,"10,000,000+",read sensitive log data,find accounts on the device,add or remove accounts,find accounts on the device,read your contacts,modify your contacts,approximate location (network-based),read phone status and identity,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,read phone status and identity,receive data from Internet,view network connections,create accounts and set passwords,full network access,change your audio settings,read sync settings,run at startup,control vibration,prevent device from sleeping,toggle sync on and off,install shortcuts,,,,,,,,,,,,,
